DATE,REGION,DESCRIPTION,PUBLIC_HOLIDAY,SPORTS_EVENT
2011-04-25,ALL,Easter Monday,1,0
2011-04-24,ALL,Easter Sunday,1,0
2011-04-23,ALL,Easter Saturday,1,0
2011-04-22,ALL,Good Friday,1,0
2011-03-14,SA ,Adelaide Cup,1,0
2011-03-14,VIC,Labour Day,1,0
2011-03-07,WA ,Labour Day,1,0
2011-02-27,ALL,Academy Awards,0,0
2011-01-30,ALL,Australian Open Mens Final,0,1
2011-01-29,ALL,Australian Open Womens Final,0,1
2011-01-26,ALL,Australia Day,1,0
2011-01-01,ALL,New Years Day,1,0
